Descripcion;Precio;Precio KG;URL del producto;Url de la imagen
DIA DULCE NOEL mantecado de limón/cacao/canela surtido 48 gr;0.19 €;3,95 €/Kg.;/compra-online/dulces-de-navidad/mantecados-y-polvorones/p/265613;https://s2.dia.es/medias/hba/h2f/10327365877790.jpg
DIA DULCE NOEL mantecado aceite de oliva/sésamo surtido 42 gr;0.17 €;3,95 €/Kg.;/compra-online/dulces-de-navidad/mantecados-y-polvorones/p/265612;https://s2.dia.es/medias/hfd/hd7/10327366860830.jpg
DIA DULCE NOEL polvorones sin azúcar a granel unidad (35 gr peso aprox.);0.14 €;3,95 €/Kg.;/compra-online/dulces-de-navidad/mantecados-y-polvorones/p/273496;https://s0.dia.es/medias/productimages/h92/ha5/10836182073374.jpg
DIA DULCE NOEL figuritas de mazapán caja 200 gr;1.85 €;9,25 €/Kg.;/compra-online/dulces-de-navidad/mazapanes/p/3264;https://s2.dia.es/medias/h0e/had/10318940700702.jpg
DIA DULCE NOEL surtido de mazapán caja 300 gr;|2.79 €
2.09 €|;|9,30 €/Kg.
6,97 €/Kg.|;/compra-online/dulces-de-navidad/mazapanes/p/25251;https://s0.dia.es/medias/productimages/h2b/h28/10837578285086.jpg
DIA DULCE NOEL mazapán de soto/ empanada de yema surtido 26 gr;0.34 €;12,90 €/Kg.;/compra-online/dulces-de-navidad/mazapanes/p/265619;https://s0.dia.es/medias/productimages/h00/h5b/10837587197982.jpg
DIA DULCE NOEL figurita de mazapán surtido 15 gr;0.19 €;12,90 €/Kg.;/compra-online/dulces-de-navidad/mazapanes/p/265618;https://s2.dia.es/medias/productimages/h0e/h57/10837595389982.jpg
DIA DULCE NOEL alfajor de almendra y avellana a granel unidad (24 gr peso aprox.);0.31 €;12,90 €/Kg.;/compra-online/dulces-de-navidad/mazapanes/p/273500;https://s3.dia.es/medias/productimages/h60/he5/10842839351326.jpg
